MUNICIPIO,REDE,IDEB_2017
Goiatins,Estadual,2.9
Guaraí,Pública,3.9
Guaraí,Estadual,3.9
Gurupi,Estadual,3.9
Gurupi,Federal,5.2
Gurupi,Pública,3.9
Ipueiras,Pública,3.3
Ipueiras,Estadual,3.3
Itacajá,Pública,2.9
Itacajá,Estadual,2.9
Itaguatins,Estadual,3.2
Itaguatins,Pública,3.2
Itapiratins,Pública,2.8
Itapiratins,Estadual,2.8
Itaporã do Tocantins,Estadual,3.5
Itaporã do Tocantins,Pública,3.5
Jaú do Tocantins,Estadual,4.1
Jaú do Tocantins,Pública,4.1
Juarina,Estadual,3.2
Juarina,Pública,3.2
Lagoa da Confusão,Pública,3.5
Lagoa da Confusão,Estadual,3.5
Lagoa do Tocantins,Estadual,3.3
Lagoa do Tocantins,Pública,3.3
Lajeado,Pública,3.7
Lajeado,Estadual,3.7
Lavandeira,Estadual,4.1
Lavandeira,Pública,4.1
Lizarda,Pública,3.6
Lizarda,Estadual,3.6
Luzinópolis,Pública,4
Luzinópolis,Estadual,4
Marianópolis do Tocantins,Pública,3.3
Marianópolis do Tocantins,Estadual,3.3
Mateiros,Pública,3.3
Mateiros,Estadual,3.3
Maurilândia do Tocantins,Pública,3.5
Maurilândia do Tocantins,Estadual,3.5
Miracema do Tocantins,Pública,3.9
Miracema do Tocantins,Estadual,3.9
Miranorte,Pública,3.7
Miranorte,Estadual,3.7
Monte do Carmo,Pública,3.7
Monte do Carmo,Estadual,3.7
Palmeiras do Tocantins,Estadual,4
Palmeiras do Tocantins,Pública,4
Muricilândia,Pública,3.4
Muricilândia,Estadual,3.4
Natividade,Estadual,3.2
Natividade,Pública,3.2
Nazaré,Pública,3.7
Nazaré,Estadual,3.7
Nova Olinda,Estadual,3
Nova Olinda,Pública,3
Nova Rosalândia,Estadual,3.6
Nova Rosalândia,Pública,3.6
Novo Acordo,Pública,2.5
Novo Acordo,Estadual,2.5
Novo Alegre,Pública,4.5
Novo Alegre,Estadual,4.5
Novo Jardim,Pública,3.5
Novo Jardim,Estadual,3.5
Oliveira de Fátima,Pública,4.5
Oliveira de Fátima,Estadual,4.5
Palmeirante,Estadual,3
Palmeirante,Pública,3
Palmeirópolis,Estadual,4.6
Palmeirópolis,Pública,4.6
Paraíso do Tocantins,Federal,4.4
Paraíso do Tocantins,Estadual,3.8
Paraíso do Tocantins,Pública,3.9
Paranã,Pública,2.8
Paranã,Estadual,2.8
Pau D'Arco,Pública,3.7
Pau D'Arco,Estadual,3.7
Pedro Afonso,Estadual,3.7
Pedro Afonso,Pública,3.7
Peixe,Pública,2.7
Peixe,Estadual,2.7
Pequizeiro,Pública,3.5
Pequizeiro,Estadual,3.5
Colméia,Pública,4
Colméia,Estadual,4
Pindorama do Tocantins,Estadual,3.8
Pindorama do Tocantins,Pública,3.8
Piraquê,Estadual,3.9
Piraquê,Pública,3.9
Pium,Estadual,3.5
Pium,Pública,3.5
Ponte Alta do Bom Jesus,Estadual,3.4
Ponte Alta do Bom Jesus,Pública,3.4
Ponte Alta do Tocantins,Pública,3.7
Ponte Alta do Tocantins,Estadual,3.7
Porto Alegre do Tocantins,Pública,3.3
